name,email,twitter,facebook,instagram,youtube
Societies Committee,societiescommittee@sheffield.ac.uk,https://twitter.com/SocComSU,https://www.facebook.com/societiescommittee,https://www.instagram.com/societiescommittee,
Forge TV Committee,forgetv@sheffield.ac.uk,https://twitter.com/ForgeTV,https://www.facebook.com/ForgeTV,https://www.instagram.com/forgetelevision,https://youtube.com/user/ForgeTelevision
Nightline Committee,sunl@sheffield.ac.uk,,,https://www.instagram.com/sheffieldnightline,
Events Management Committee,enc@sheffield.ac.uk,https://twitter.com/EventsSociety,https://www.facebook.com/groups/160645264126136/,,
Forge Radio Committee,forgeradio@forgetoday.com,https://twitter.com/forgeradio,https://www.facebook.com/forgeradio,https://www.instagram.com/forgeradio,
Forge Press Editorial Team Committee,editor@forgetoday.com,https://twitter.com/ForgePress,https://www.facebook.com/ForgePress,,
Conservation Volunteers Committee,conservation.volunteers@sheffield.ac.uk,https://twitter.com/sucv1,https://www.facebook.com/sucvsheff,https://www.instagram.com/sucv1,
Film Unit Committee,film.unit@sheffield.ac.uk,https://twitter.com/filmunit,https://www.facebook.com/FilmUnitSheffield,https://www.instagram.com/film.unit.sheffield,
Debating Committee,sheffielddebating@gmaill.com,https://twitter.com/shefdebating,https://www.facebook.com/SheffieldDebatingSociety,,
Women's Committee,womens.committee@sheffield.ac.uk,https://twitter.com/shefunionwomcom,https://www.facebook.com/sheffieldwomcom,https://www.instagram.com/womenscommittee,
Postgraduate Committee,pgcommittee@sheffield.ac.uk,https://twitter.com/shefpostgrad,https://www.facebook.com/SheffPGCommittee,,
Mature Students' Committee,msc@sheffield.ac.uk,https://twitter.com/mscsheffield,https://www.facebook.com/MSCsheffield,,
LGBT Plus Committee,lgbt@sheffield.ac.uk,https://twitter.com/lgbtsu,https://www.facebook.com/SHEFLGBT/,https://www.instagram.com/lgbtsu,
International Students' Committee,isc@sheffield.ac.uk,https://twitter.com/sheffisc,https://www.facebook.com/groups/203825685821/,https://www.instagram.com/sheffisc,
Black and Minority Ethnic Students' Committee,bmesc@sheffield.ac.uk,,,,
Disabled and Dyslexic Students' Committee,dsc@sheffield.ac.uk,https://twitter.com/sheffielddsc,https://www.facebook.com/sheffielddsc,https://www.instagram.com/sheffielddsc,
Womens Hockey,hockey.womens@sheffield.ac.uk,https://twitter.com/ShefUniHockey,https://www.facebook.com/shefunihockey,https://www.instagram.com/TheSuwhc,
Womens Rugby Union,rugby.union.womens@sheffield.ac.uk,https://twitter.com/sulrfc,https://www.facebook.com/sulrfc,https://www.instagram.com/sulrfc_,
Womens Cricket,cricket.womens@sheffield.ac.uk,https://twitter.com/suwcc1,https://www.facebook.com/SUWCC,https://www.instagram.com/suwcc1,
Womens Basketball,womens.basketball@sheffield.ac.uk,https://twitter.com/UoSWB,https://www.facebook.com/UoSWB,https://www.instagram.com/uoswb,
Womens Football,football.womens@sheffield.ac.uk,https://twitter.com/suwfc1,https://www.facebook.com/suwfc1,https://www.instagram.com/suwfc,
Triathlon,triathlon@sheffield.ac.uk,,https://www.facebook.com/https://www.facebook.com/UoSTriathlon,https://www.instagram.com/sheffunitri,
Windsurfing,windsurfing@sheffield.ac.uk,,https://www.facebook.com/facebook.com/groups/360017034347089,https://www.instagram.com/gnarlysheff,
Volleyball,shefunivolleyball@gmail.com,,https://www.facebook.com/shefunivball,https://www.instagram.com/shefunivball,https://youtube.com/user/https://youtu.be/3ucQrtAoDmc
Walking,suwc@sheffield.ac.uk,,https://www.facebook.com/shefuniwalking,https://www.instagram.com/suwc_official,
Ultimate Frisbee,ultimate@sheffield.ac.uk,,https://www.facebook.com/uosultimate,https://www.instagram.com/uosheffultimate,https://youtube.com/user/UltimateFrisbeeSociety
Trampoline,trampolining@sheffield.ac.uk,https://twitter.com/twitter.com/uostrampoline,https://www.facebook.com/.facebook.com/shefftrampolining,https://www.instagram.com/instagram.com/uostrampoline,https://youtube.com/user/https://www.youtube.com/channel/UCTgqE66TlkcVueGGB9AozmQ
Tennis,tennis@sheffield.ac.uk,,https://www.facebook.com/UoSTennisClub,https://www.instagram.com/uos_tennis,
Taekwondo,taekwondo@sheffield.ac.uk,https://twitter.com/uosTKD,,https://www.instagram.com/uostkd,
Table Tennis,table.tennis@sheffield.ac.uk,https://twitter.com/uos_tabletennis,https://www.facebook.com/University of Sheffield Table Tennis Club 2020-21,https://www.instagram.com/uos_tabletennis,https://youtube.com/user//channel/UCregzZ3dlHclFNfF-AW6sfg
Strength Sports,strengthsports@sheffield.ac.uk,,https://www.facebook.com/facebook.com/Strength Sports Members 2020/21,https://www.instagram.com/uosstrength,
Swimming & Waterpolo,suswpc@sheffield.ac.uk,,https://www.facebook.com/UoSSwimmingAndWaterPolo,https://www.instagram.com/uosswpc,https://youtube.com/user/https://www.youtube.com/watch?v=G9k2Dyd3JPs&t=6s
Sub-Aqua,info@susac.com,https://twitter.com/SheffieldUSAC,https://www.facebook.com/ShefUniSCUBA,https://www.instagram.com/sheffield_susac,
Stunt Cheerleading,cheerleading@sheffield.ac.uk,https://twitter.com/https://twitter.com/shefsabrecats?lang=en,https://www.facebook.com/https://www.facebook.com/SheffieldSabrecats,https://www.instagram.com/https://www.instagram.com/sheffieldsabrecats/?hl=en,https://youtube.com/user/https://www.youtube.com/channel/UCRfQNYSGM-qqF7I-Nz9e24Q
Snowboarding,snow.boarding@sheffield.ac.uk,,https://www.facebook.com/suscsheffield,https://www.instagram.com/suscsnow,
Squash,squash@sheffield.ac.uk,https://twitter.com/uos_squashclub,https://www.facebook.com/facebook.com/uossquashclub,https://www.instagram.com/uos_squashclub,
Ski,skiclub@sheffield.ac.uk,,https://www.facebook.com/sheffski.rhino,https://www.instagram.com/sheff_ski,
Sheffield Bears Ice Hockey,info@sheffieldbears.com,https://twitter.com/sheffieldbears,https://www.facebook.com/SheffieldBears,,
Sailing,sailing@sheffield.ac.uk,,https://www.facebook.com/UoSSailing ,https://www.instagram.com/uossailing,https://youtube.com/user/The University of Sheffield Sailing Club 
Pom Cheerleading,pomcheerleading@sheffield.ac.uk,https://twitter.com/Pomsabrecats,,https://www.instagram.com/Pomsabrecats,
Parkour,parkour@sheffield.ac.uk,https://twitter.com/SocietyParkour,https://www.facebook.com/UoSparkour,https://www.instagram.com/uosparkour,
Rugby League,rugby.league@sheffield.ac.uk,https://twitter.com/SURLFC,https://www.facebook.com/SURLFC,https://www.instagram.com/SURLFC,
Orienteering & Fell Running,shuoc@sheffield.ac.uk,https://twitter.com/ShefUniOclub,https://www.facebook.com/Sheffield University Orienteering and Fell Running ,https://www.instagram.com/shuocgooutrun,
Rowing,rowing@sheffield.ac.uk,https://twitter.com/ShefUniRowing,https://www.facebook.com/shefunirowingclub,https://www.instagram.com/shefunirowing,https://youtube.com/user/UCTwtUZOwrzE3R01Lq5t_djw
Pool & Snooker,poolandsnooker@sheffield.ac.uk,,https://www.facebook.com/SheffieldPoolAndSnooker,https://www.instagram.com/shefpoolsnooker,
Muay Thai,muay.thai@sheffield.ac.uk,,,https://www.instagram.com/uosmuaythai,
Netball,sheffnetball@gmail.com,https://twitter.com/SUNCofficial,https://www.facebook.com/facebook.com/suncofficial,https://www.instagram.com/suncofficial,
Mountaineering,usmc@sheffield.ac.uk,,https://www.facebook.com/facebook.com/UoSMountaineering,https://www.instagram.com/instagram.com/sheffieldmountaineering,
Mens Rugby Union,sheffieldurfc@gmail.com,https://twitter.com/SheffieldURFC,https://www.facebook.com/Sheffield University Mens Rugby Union ,https://www.instagram.com/sheffieldurfc,
Mens Hockey,suhc@sheffield.ac.uk,https://twitter.com/ShefUniHockey,https://www.facebook.com/shefunihockey,https://www.instagram.com/thesumhc,
Mens Football,sheffieldmensfootball@gmail.com,https://twitter.com/shefunifootball,https://www.facebook.com/https://www.facebook.com/Shefunifootball,https://www.instagram.com/shefunifootball,
Mens Cricket,cricket.mens@sheffield.ac.uk,https://twitter.com/SheffieldUCC,https://www.facebook.com/uniofsheffcc,https://www.instagram.com/sheffielducc,
Mens Basketball,basketball@sheffield.ac.uk,,https://www.facebook.com/UoSBasketball,https://www.instagram.com/uosbasketball,
Lifesaving,lifesaving@sheffield.ac.uk,https://twitter.com/UoSLSC,https://www.facebook.com/UoSLSC,https://www.instagram.com/sheffieldlifesaving,
Lacrosse,lacrosse@sheffield.ac.uk,https://twitter.com/sheffunilax,https://www.facebook.com/https://www.facebook.com/groups/2680186262225291,https://www.instagram.com/sheffunilax,
Korfball,korfball@sheffield.ac.uk,https://twitter.com/Shefunikorf,https://www.facebook.com/Sheffield University Korfball Club ,https://www.instagram.com/Shefunikorf,
Judo,judo@sheffield.ac.uk,https://twitter.com/ShefUniJudo,https://www.facebook.com/SheffieldUni.Judo,https://www.instagram.com/uos_judoclub,
Gymnastics,gymnastics@sheffield.ac.uk,https://twitter.com/UosGymnastics,https://www.facebook.com/https://www.facebook.com/UoSGS,https://www.instagram.com/uosgymnastics,
Jiu Jitsu,jitsu.union@sheffield.ac.uk,https://twitter.com/ShefUniJiuJitsu,https://www.facebook.com/ShefUniJiuJitsu,https://www.instagram.com/sheffieldunijiujitsu,https://youtube.com/user/UCP4RpFpMwFm1VF9zvNTi_Qw/featured
Golf,golf@sheffield.ac.uk,https://twitter.com/GolfSheffield,https://www.facebook.com/University of Sheffield Golf Club,https://www.instagram.com/golf_sheffield,
Futsal,uosfutsalclub@gmail.com,https://twitter.com/UoShefFutsal,,https://www.instagram.com/sheffunifutsal,
Fencing,Fencing@sheffield.ac.uk,,,https://www.instagram.com/Shefunifencing,
Equestrian,Shefequestrian@gmail.com,,https://www.facebook.com/shefequestrian,https://www.instagram.com/Sheffuniequestrian,
Dodgeball,dodgeball@sheffield.ac.uk,https://twitter.com/ShefUniDodge,https://www.facebook.com/Shefunidodge,https://www.instagram.com/Shefunidodgeball,https://youtube.com/user/https://www.youtube.com/channel/UCjEj2hrUCNBWVnLjUdl8Rrw
Caving,inclusions@shefcavers.org.uk,https://twitter.com/shefunicavers,https://www.facebook.com//groups/shefcavers,,https://youtube.com/user/SUSS - Sheff Uni Caving
Cycling,cycling@sheffield.ac.uk,https://twitter.com/UoSCycling,https://www.facebook.com/University of Sheffield Cycling Club,https://www.instagram.com/uoscycling,https://youtube.com/user/UOSCC - University Of Sheffield Cycling Club
Canoe,canoe@sheffield.ac.uk,https://twitter.com/shefunicanoe,https://www.facebook.com/shefunicanoe,https://www.instagram.com/sheff_uni_canoe_club,
Badminton,badminton@sheffield.ac.uk,,https://www.facebook.com/Badminton at Sheffield University,https://www.instagram.com/badmintonsheff,
Athletics & Cross Country,athletics@sheffield.ac.uk,,https://www.facebook.com/shefuniac,https://www.instagram.com/shefuniac,
Baseball,baseball@sheffield.ac.uk,,https://www.facebook.com/University of Sheffield Hornets Baseball Club,https://www.instagram.com/uoshornets,
Boxing,boxing@sheffield.ac.uk,,https://www.facebook.com/facebook.com/Sheffunibox,https://www.instagram.com/instagram.com/universityofsheffieldboxing,
Archery,archery@sheffield.ac.uk,,https://www.facebook.com/https://www.facebook.com/groups/2212833051/,https://www.instagram.com/https://www.instagram.com/sheffieldunisarcheryclub/?fbclid=IwAR3scY3Dz4IluNbRwRX7nwKbmeg7_baXdarDiHo2VOt09gMrh7DjiCP0C-Y,
American Football,usfootball@sheffield.ac.uk,https://twitter.com/sheffieldsabres,https://www.facebook.com/TheSheffieldSabres,https://www.instagram.com/sheffieldsabres,
Zumba Society,zumba@sheffield.ac.uk,,https://www.facebook.com/groups/sheffieldunizumbasoc/,https://www.instagram.com/uos_zumba,
Youth Stop Aids Society,youthstopaids@sheffield.ac.uk,,https://www.facebook.com/SheffieldYouthStopAIDS/,https://www.instagram.com/ysasheffield,
Young Greens Society,younggreens@sheffield.ac.uk,,https://www.facebook.com/facebook.com/pages/category/Political-Organization/University-of-Sheffield-Young-Greens-576278419140482/,,
Yoga and Pilates Society,yogaandpilates@sheffield.ac.uk,https://twitter.com/shefyogasoc,https://www.facebook.com/shefyogasoc,https://www.instagram.com/sheffielduniyogapilates,
Women in Law Society,womeninlawsociety@sheffield.ac.uk,,https://www.facebook.com/womeninlawsheff,https://www.instagram.com/womeninlawsheff,
Women in Computer Science Society,womenincs@sheffield.ac.uk,https://twitter.com/sheffieldwics,https://www.facebook.com/sheffieldwics/,https://www.instagram.com/sheffieldwics,
Women's Equality Party Society,wepsoc@sheffield.ac.uk,,https://www.facebook.com/UoS-WEP-Soc-104588624354593,https://www.instagram.com/uoswep,
Women in Engineering Society,info@womeninengineering.org.uk,https://twitter.com/engwomen,https://www.facebook.com/WomenInEngineeringSociety/,https://www.instagram.com/engwomen,
Women in Business Society,womeninbusiness@sheffield.ac.uk,,https://www.facebook.com/womeninbusinesssheffield/,https://www.instagram.com/womeninbusinesssheffield,
Wind Orchestra Society,suwosoc@sheffield.ac.uk,https://twitter.com/SUWO_Sheffield,https://www.facebook.com/SUWO1,https://www.instagram.com/suwoshef,
Wilderness Medicine Society,swms@sheffield.ac.uk,,https://www.facebook.com/groups/SheffieldWildernessMedicine/,https://www.instagram.com/sheffwildernessmed,
West Indian Society,westindiansoc@sheffield.ac.uk,,https://www.facebook.com/WestIndianSociety120106451997221/,https://www.instagram.com/uoswestindiansoc,
Welsh Society,Welsh.Soc@sheffield.ac.uk,,,,
Wellbeing Cafe Society,wellbeingcafe@sheffield.ac.uk,,https://www.facebook.com/wbcafesheffieldsu,https://www.instagram.com/wellbeingcafesheff,
Wargames Society,wargamessoc@shef.ac.uk,,https://www.facebook.com/groups/Sheffielduniversitywargames/,https://www.instagram.com/https://www.instagram.com/uos_wargames_society/,
UsART Society,TBA,,,,
We are Donors Sheffield Society,wadsoc@sheffield.ac.uk,,https://www.facebook.com/WeAreDonorsSheffield,,
Vietnamese Society,vietsocsheffield.uk@gmail.com,,,https://www.instagram.com/vietsocsheffield,
Vegetarian and Vegan Society,veg.soc@sheffield.ac.uk,,https://www.facebook.com/groups/93858286432,https://www.instagram.com/sheffvegsoc,
University of Sheffield Light Entertainment Societ,Usles@sheffield.ac.uk,https://twitter.com/USLES_,https://www.facebook.com/uslesofficial,https://www.instagram.com/usles_,https://youtube.com/user/https://www.youtube.com/channel/UCDCNTK8tvFH18-zEIx9i4lA
Tea Society,teasoc@sheffield.ac.uk,https://twitter.com/sheffuniteasoc?lang=en,https://www.facebook.com/groups/SheffieldTeaSoc/,https://www.instagram.com/theuniversityofsheffield/?hl=en,
Thai Society,Thaisoc@sheffield.ac.uk,,https://www.facebook.com/SheffieldThaiSociety,https://www.instagram.com/sheffieldthaisociety,
Tamil Society,tamilsociety@sheffield.ac.uk,,https://www.facebook.com/sheffieldtamilsoc/,https://www.instagram.com/shefftamilsoc,
Taiwan Society,twsoc@sheffield.ac.uk,,https://www.facebook.com/groups/1500171410295067/,,
Table Football Society,TBC,,,,
Teddy Bear Hospital,teddybearhospital@sheffield.ac.uk,,https://www.facebook.com/TeddyBearHospitalSheffield,,
Turkish Society,turkish.society@sheffield.ac.uk,,https://www.facebook.com/uosturkishsociety,https://www.instagram.com/uosturkishsociety,https://youtube.com/user/UCWSHsFIKLPJv8zLthmJCqbw/
Swing Dance Society,swing.soc@sheffield.ac.uk,,https://www.facebook.com/shefuniswing,https://www.instagram.com/shefuniswing,https://youtube.com/user/https://www.youtube.com/channel/UC9rZAPCetHPXBtBLzhWNxPw
Symphony Orchestra Society,suso@sheffield.ac.uk,https://twitter.com/SheffUniOrch,https://www.facebook.com/SheffieldUniversitySymphonyOrchestra,https://www.instagram.com/uos_symphonyorchestra,
Sudanese Society,sudanesesoc@sheffield.ac.uk,,,https://www.instagram.com/sudanesesoc,
Stop the Traffik Society,stopthetraffik@sheffield.ac.uk,,https://www.facebook.com/pages/SheffieldUniStoptheTraffikSociety/285666204785042,,
Students for Global Health (Sheffield Branch),sheffield@studentsforglobalhealth.org,,https://www.facebook.com/SheffieldStudentsForGlobalHealth/,https://www.instagram.com/sheffield_sfgh,
Student Surgical Society,surgsoc@sheffield.ac.uk,,https://www.facebook.com/SheffSurgSoc,,
Student Action for Refugees Society,refugees@sheffield.ac.uk,,https://www.facebook.com/studentactionforrefugees.sheffield,https://www.instagram.com/star_sheff,
Student Action for our NHS Society,sanhs@sheffield.ac.uk,https://twitter.com/safonhs,https://www.facebook.com/StudentActionForOurNHS/,https://www.instagram.com/safonhs,
Stitch Society,stitchsoc@sheffield.ac.uk,,https://www.facebook.com/University of Sheffield Stitch Society ,https://www.instagram.com/stitchsocsheffield,
Stationery Appreciation Society,stationerysoc@sheffield.ac.uk,,,https://www.instagram.com/sheffieldstationerysoc,
Sri Lankan Society,srilankansoc@sheffield.ac.uk,,https://www.facebook.com/sheffieldslsoc/,https://www.instagram.com/sheffieldslsoc,
Sports Medicine Society,sportsmedicinesoc@sheffield.ac.uk,https://twitter.com/sheffsem,https://www.facebook.com/SheffieldSEMSociety,https://www.instagram.com/sheffsem,
Somali Society,somalisociety@sheffield.ac.uk,https://twitter.com/SheffieldSomsoc,https://www.facebook.com/SheffieldSomSoc/,https://www.instagram.com/sheffieldsomsoc,
Spikeball Society,shefspikeball@sheffield.ac.uk,,https://www.facebook.com/Sheffield.Roundnet,https://www.instagram.com/sheffield_roundnet,
Sociology Society,sociologysoc@sheffield.ac.uk,https://twitter.com/sheffieldsocsoc,https://www.facebook.com/shefsociologysociety,https://www.instagram.com/sheffieldsocsoc,
Socialist Students Society,socialist-students@sheffield.ac.uk,,,,
Slavonic Languages Society,slavsoc@sheffield.ac.uk,https://twitter.com/slavsocuos,https://www.facebook.com/facebook.com/SlavSocSheff,https://www.instagram.com/slavsocsheff,
Skateboarding Society,skatesoc@sheffield.ac.uk,,https://www.facebook.com/SheffUniSkate,https://www.instagram.com/sheffielduniskatesoc,https://youtube.com/user/UCKXdeuuqpiqUd5Cdn0cEtAw
Singers' Society,singsoc@sheffield.ac.uk,https://twitter.com/SheffSingSoc,https://www.facebook.com/groups/2211352692/,https://www.instagram.com/sheffsingsoc/?hl=en,https://youtube.com/user/SheffSingSoc
Sikh Society,sikh@sheffield.ac.uk,,https://www.facebook.com/sikhsoc.sheffield,https://www.instagram.com/sheffieldsikhsociety,
Simurq Aeronautics Society,simurq.aeronautics@sheffield.ac.uk,https://twitter.com/SimurqAero,https://www.facebook.com/simurqaero,,
Singapore Society,singaporesociety@sheffield.ac.uk,,https://www.facebook.com/groups/124851527559719/,https://www.instagram.com/sheffieldsingaporesociety,
Sign Language Society,sign.language@sheffield.ac.uk,https://twitter.com/sheffsls,https://www.facebook.com/groups/sheffsls/about,https://www.instagram.com/sheffsls,https://youtube.com/user/UC2e_m4Vrwu-6YgQXcQO4vHw
Sheffield University Big Band Society,subb@sheffield.ac.uk,https://twitter.com/subb_sheffield,https://www.facebook.com/SUBB.Sheffield,https://www.instagram.com/subbsheffield,
ShefWHO Society,SheffWHO@sheffield.ac.uk,https://twitter.com/SheffWHO2018,https://www.facebook.com/SheffWHO,https://www.instagram.com/SheffWHO,
Sheffield Model United Nations Society,una@sheffield.ac.uk,https://twitter.com/SheffieldMUN,https://www.facebook.com/UNA.UOS/,,
Sheffield Methods Institute Society,methodsinstitute@sheffield.ac.uk,,https://www.facebook.com/smisociety,https://www.instagram.com/smisoc_uo,
Save Our Sandwiches,saveoursandwiches@sheffield.ac.uk,https://twitter.com/SaveOurSandwich,https://www.facebook.com/saveoursandwiches,https://www.instagram.com/saveoursandwiches,
Saudi Students Society,saudi@sheffield.ac.uk,,,,
Sheffield Marrow,marrow@sheffield.ac.uk,https://twitter.com/sheffieldmarrow,https://www.facebook.com/SheffieldMarrow,https://www.instagram.com/sheffieldmarrow,
Sheffield Malaysian Students' Association Society,smsa@sheffield.ac.uk,,https://www.facebook.com/smsaofficial,https://www.instagram.com/smsasheffield,
Sexpression Society,sexpressioncoordinator@sheffield.ac.uk,https://twitter.com/sexpressionshef,https://www.facebook.com/SheffieldSexpression/,https://www.instagram.com/sexpressionshef,
Science Brainwaves Society,sciencebrainwaves@sheffield.ac.uk,,,,
Scouts and Guides Society,stings@sheffield.ac.uk,,https://www.facebook.com/groups/sheffieldstings/,https://www.instagram.com/sheffield.stings/,
Samba Society,samba@sheffield.ac.uk,https://twitter.com/shefunisamba,https://www.facebook.com/SheffieldUniversitySambaBand,https://www.instagram.com/shefunisamba,
Radiology Society,medsocradiology@sheffield.ac.uk,,https://www.facebook.com/medsocradiology/,,
Real Ale and Cider Society,realale@sheffield.ac.uk,,https://www.facebook.com/RealAleSociety,,
Romanian Society,rosoc@sheffield.ac.uk,,https://www.facebook.com/RoSocSheffield,https://www.instagram.com/rosoc_sheffielduni,
Rock Society,rocksoc@sheffield.ac.uk,,https://www.facebook.com/groups/sheffieldrocksoc/,https://www.instagram.com/instagram.com/uniofsheffrocksoc/,
Roboteer's Society,roboteers@sheffield.ac.uk,https://twitter.com/shefroboteers,https://www.facebook.com/groups/sheffieldRoboteers,,https://youtube.com/user/UCWPqZRN_ZAXwTZwKopF2d8Q
Reggae Society,reggaesoc@sheffield.ac.uk,,https://www.facebook.com/facebook.com/reggaesoc,https://www.instagram.com/instagram.com/reggaesoc,https://youtube.com/user/youtube.com/channel/UC_x7mpfBOFe_Fnj0e7SHVrQ
Radical Youth Sheffield Campus Fellowship Society,radicalyouthsheffield@gmail.com,https://twitter.com/rysheff,https://www.facebook.com/groups/108768549059/,https://www.instagram.com/rysheff,
Quiz Society,quizsoc@sheffield.ac.uk,,https://www.facebook.com/sheffieldquizsociety/,,
Quidditch Society,quidditchsociety@sheffield.ac.uk,,https://www.facebook.com/sheffieldquidditchclub/,https://www.instagram.com/sheffieldquidditchclub,
Qatar Society,Qatarsoc@sheffield.ac.uk,https://twitter.com/Sheff.Qtr.Soc,https://www.facebook.com/SheffQtrSoc,https://www.instagram.com/sheff.qtr.soc,
Psychology Society,psychos@sheffield.ac.uk,,https://www.facebook.com/facebook.com/SheffielduniPSYCHOS,https://www.instagram.com/uospsysoc,
Portuguese and Lusophone Society,lusosoc@sheffield.ac.uk,,https://www.facebook.com/lusosoc19,https://www.instagram.com/lusosoc,
Psychology Postgraduate Society,pgpsychology@sheffield.ac.uk,,https://www.facebook.com/uospsychologypg,,
Psychiatry Society,psychiatrysoc@sheffield.ac.uk,https://twitter.com/SheffPsychS,https://www.facebook.com/SheffieldPsychSoc,https://www.instagram.com/SheffieldPsychSoc,
Public Health Society,publichealthsociety@sheffield.ac.uk,https://twitter.com/phssheffield,https://www.facebook.com/SheffieldPHS,https://www.instagram.com/publichealthsoc,
Postgraduate Students (ProgRess),pg-soc@sheffield.ac.uk,,,,
Politics Society,politics.society@sheffield.ac.uk,https://twitter.com/PolSocSheffield,https://www.facebook.com/PolSocSheffield,https://www.instagram.com/PolSocSheffield,
Polish Society,polish.society@sheffield.ac.uk,,https://www.facebook.com/TheUniversityOfSheffieldPolishSociety/,,
Pokemon Society,pokemon-soc@sheffield.ac.uk,https://twitter.com/pokesocsu,https://www.facebook.com/pokesocsu,,
Pole Fitness Society,pole.fitness@sheffield.ac.uk,,https://www.facebook.com/UniversityOfSheffieldPoleFitnessSociety,https://www.instagram.com/uospolefitness,
Poetry Society,poetrysoc@sheffield.ac.uk,,https://www.facebook.com/shefpoetry/,https://www.instagram.com/uospoetry,
Platform Society,,,https://www.facebook.com/https://www.facebook.com/platformperformancesociety,https://www.instagram.com/https://www.instagram.com/platformsheff/,
Physics Society,physoc@sheffield.ac.uk,https://twitter.com/sheffieldphysoc,https://www.facebook.com/groups/SheffieldPhysoc,https://www.instagram.com/sheffieldphysoc,
Planning Society,planningsoc@sheffield.ac.uk,,https://www.facebook.com/PlanningSoc/,https://www.instagram.com/planningsocsheff,
Philosophy Society,philsoc@sheffield.ac.uk,https://twitter.com/PhilSocSheff,https://www.facebook.com/SheffPhilSoc,https://www.instagram.com/noam.chimpsky,
Photographic Society,photo-soc@sheffield.ac.uk,,https://www.facebook.com/groups/sheffieldphotosoc/,https://www.instagram.com/shefuniphotosoc,
PH7 Society,pH7@sheffield.ac.uk,,https://www.facebook.com/https://www.facebook.com/ph7scienceUoS,,https://youtube.com/user/https://www.youtube.com/channel/UCJ2M1gpYwyRFo-xiLP33y2w
PGDE Society,pgde@sheffield.ac.uk,,,,
Pet Society,petsoc@sheffield.ac.uk,,https://www.facebook.com/facebook.com/sheffpetsoc,https://www.instagram.com/instagram.com/sheffpetsoc,
