Comedy Revue Society,Sucre@sheffield.ac.uk
Comic Book Society,Comicbooksoc@sheffield.ac.uk
Computer Gaming Society,slugs@sheffield.ac.uk
Computer Science Society,compsci.soc@sheffield.ac.uk
Conservative Future Society,
Coppafeel! Society,coppafeel@sheffield.ac.uk
Cosplay Society,cossoc@sheffield.ac.uk
Craft Club Society,craftclub@sheffield.ac.uk
Criminology Society,crimsoc@sheffield.ac.uk
Croquet Society,croquet@sheffield.ac.uk
Dance Society,sheffielddancesociety@gmail.com
Darts Society,darts-soc@sheffield.ac
Dental Research Society,dsrs@sheffield.ac.uk
Dental Students' Society,sudss@sheffield.ac.uk
Dermatology Society,dermsoc.sheffield@gmail.com
Deutscher Verein Society,deutsch@sheffield.ac.uk
Digital Demonstration Society,digitalsocieties@sheffield.ac.uk
DJ Society,djsoc@sheffield.ac.uk
Drag Society,dragsoc@sheffield.ac.uk
East African Society,activities@sheffield.ac.uk
East Asian Studies Society,eassoc@sheffield.ac.uk
Economics Society,econsoc@sheffield.ac.uk
Education Society,educationsociety@sheffield.ac.uk
Edward Bramley Law Society,lawsociety@sheffield.ac.uk
Effective Altruism Sheffield Society,eas@sheffield.ac.uk
Egyptian Society,egyptiansoc@sheffield.ac.uk
Electronic and Electrical Engineering Society,eeesoc@sheffield.ac.uk
Engineers Without Borders Society,ewb@sheffield.ac.uk
English Society,english.society@sheffield.ac.uk
Environmental Science Society,envirosoc@sheffield.ac.uk
Ethical Student Hackers Society,ethicalhackers@sheffield.ac.uk
European Law Students' Association Society,elsa@sheffield.ac.uk
Extinction Rebellion Society,extinctionrebellion@sheffield.ac.uk
Feminist Society,feministsoc@sheffield.ac.uk
Filipino Society,filipino.society@sheffield.ac.uk
Film Making Society,fms@sheffield.ac.uk
First Aid Society,shef.links@sheffield.ac.uk
Flute Choir Society,flutechoir@sheffield.ac.uk
Flying Teapots Society,jcdoyle1@sheffield.ac.uk
Free Speech Society,activities@sheffield.ac.uk
Friends of Irise Society,Foisoc@sheffield.ac.uk
Friends of Medecins Sans Frontieres Society,friendsofmsf@sheffield.ac.uk
Game Development Society,
GEM Society,gemsoc@sheffield.ac.uk
General Practice Society,gpsoc@sheffield.ac.uk
Geography Society,geogsoc@sheffield.ac.uk
Geriatrics and Palliative Care Society,gaps@sheffield.ac.uk
Ghana Society,ghanasociety@sheffield.ac.uk
Gluten Free Society,glutenfree@sheffield.ac.uk
Gospel Choir Society,gospelchoir@sheffield.ac.uk
Graphic Design and 3D Modelling Society,graphcad@shef.ac.uk
Green and Bop Society,greenandbop@sheffield.ac.uk
Guild of Change Ringers Society,SUGCR@sheffield.ac.uk
HackSheffield,hacksheffield@sheffield.ac.uk
Healthy Planet Society,healthyplanet@sheffield.ac.uk
Hellenic and Cypriot Society,hellenic.cypriot.soc@sheffield.ac.uk
Hispanic Society,hispanic@sheffield.ac.uk
History Society,history-society@sheffield.ac.uk
History Society Rugby Club,historyrugby@sheffield.ac.uk
Hong Kong Public Affairs and Social Services Socie,hkpass@sheffield.ac.uk
Hong Kong Society,hksoc@sheffield.ac.uk
Horror Society,horrorsoc@sheffield.ac.uk
Human Communication Sciences Society,humancomm@sheffield.ac.uk
Hungarian Society,hungariansociety@sheffield.ac.uk
Ice Skating Society,iceskating@sheffield.ac.uk
IICD  Students' Society,iicdsoc@sheffield.ac.uk
Indian Society,indian.soc@sheffield.ac.uk
Indonesian Society,indosoc@sheffield.ac.uk
Infectious Diseases and Tropical Medicine Society,sidsoc@sheffield.ac.uk
Investment Society,Usis@sheffield.ac.uk
Irish Dancing Society,irishdance@sheffield.ac.uk
Islamic Circle Society,islam.circle@sheffield.ac.uk
Italian Society,italiansoc@sheffield.ac.uk
Japan Society,japansoc@sheffield.ac.uk
Jewish Society,Jewish.society@sheffield.ac.uk
Journalism Society,journosoc@sheffield.ac.uk
Just Love Society,Justlove@sheffield.ac.uk
K-Pop Dance Society,kpopsoc@sheffield.ac.uk
Korea Society,koreasoc@sheffield.ac.uk
Labour Students Society,labour@sheffield.ac.uk
Landmark Society,landmark@sheffield.ac.uk
Latin American Society,latamsoc@sheffield.ac.uk
Latin and Ballroom Dancing Society,dancing.soc@sheffield.ac.uk
Law4NonLaw Society,law4nonlaw@sheffield.ac.uk
Lawyers without Borders Society,lawyerswithoutborders@sheffield.ac.uk
Le Cercle Français Society,cercle.francais@sheffield.ac.uk
Legal Hackers Society,activities@sheffield.ac.uk
Liberal Democrats Society,libdems@sheffield.ac.uk
Liberty Belle Magazine Society,libertybelle@sheffield.ac.uk
Lishi Tai Chi Society,taichi@sheffield.ac.uk
Luxembourg Society,shef.luxsoc@gmail.com
Macau Society,macausoc@sheffield.ac.uk
Mahjong Society,mahjong@sheffield.ac.uk
Malayalee Society,malayaleesoc@sheffield.ac.uk
Malaysian and Singaporean Society,massoc@sheffield.ac.uk
Management Society,mgtsoc@sheffield.ac.uk
Marxist Society,marxistsociety@sheffield.ac.uk
Materials Science and Engineering Society,mat.soc@sheffield.ac.uk
Maths Society,maths.soc@sheffield.ac.uk
MBA Society,TBC
MBB Postgraduate,mbbphdsoc@sheffield.ac.uk
MDH PGR Students' Society,mdhpgrforum@sheffield.ac.uk
Mechanical Engineering Society,mechsoc@sheffield.ac.uk
MedAid Society,medaid@sheffield.ac.uk
Medical Ethics and Humanitarian Society,methics@sheffield.ac.uk
Medical Society,medsoc@sheffield.ac.uk
Medics' Badminton Society,medicsbadminton@sheffield.ac.uk
Medics' Basketball Club,medicsbasketball@sheffield.ac.uk
Medics' Choir Society,medicschoir@sheffield.ac.uk
Medics' Cricket Club,sheffieldmedicscricket@gmail.co.uk
Medics' Hockey Club,medicshockey@sheffield.ac.uk
Medics' LGBT+ and Allies Society,activities@sheffield.ac.uk
Medics' Men's Football Club,medicsfootball@sheffield.ac.uk
Medics' Netball Club,medics-netball@sheffield.ac.uk
Medics' Orchestra Society,medicsorchestra@sheffield.ac.uk
Medics' Revue Society,Medicsrevue@gmail.com
Medics' Rugby Club,medicsrugby@sheffield.ac.uk
Medics' Running Club,medicsrunning@sheffield.ac.uk
Medics' Squash Club,medicssquash@gmail.com
Medics' Women's Football Club,medicswomensfootball@sheffield.ac.uk
Medieval Re-enactment Society,medieval@sheffield.ac.uk
Meditation Society,meditationsoc@sheffield.ac.uk
MedTech Society,medtechsoc@sheffield.ac.uk
Mental Health Matters Society,mentalhealthmatters@sheffield.ac.uk
Molecular Biology and Biotechnology Society,mbbsoc@sheffield.ac.uk
Morris Society,morris@sheffield.ac.uk
Music Culture Society,musicculturesoc@sheffield.ac.uk
Music Department Society,musicdepsoc@sheffield.ac.uk
Music Players' Society,music.soc@sheffield.ac.uk
National Hindu Student Forum Sheffield Society,hindu.students@sheffield.ac.uk
Nature and Wildlife Society,wildsoc@sheffield.ac.uk
Nederlandse Vereniging Society,nederlands@sheffield.ac.uk
Neo-Pagan Society,neopagan@sheffield.ac.uk
Nepalese Society,nepalsociety@sheffield.ac.uk
Neuroscience Society,Shefneurosoc@gmail.com
Nigerian Society,nigeriansociety@sheffield.ac.uk
North American Society,northamericansoc@sheffield.ac.uk
North Wing Society,northwing@sheffield.ac.uk
Not Only Dungeons and Dragons Society,noddsoc@sheffield.ac.uk
Nursing and Health Society,nhsoc@sheffield.ac.uk
Nutritank Society,nutritank@sheffield.ac.uk
Obstetrics and Gynaecology Society,obstetricmedsoc@sheffield.ac.uk
Omani Society,omani@sheffield.ac.uk
Oncology Society,oncologysoc@sheffield.ac.uk
Open Mic Society,openspace@sheffield.ac.uk
Ophthalmology Society,sheffieldeyesoc@gmail.com
Orthoplastic Society,orthoplasticsoc@sheffield.ac.uk
Orthoptics Society,orthsoc@sheffield.ac.uk
Paediatrics Society,paediatric.society@sheffield.ac.uk
Pakistani Society,pak@sheffield.ac.uk
Palestine Society,palestine@sheffield.ac.uk
Peer Teaching Society,peerteaching@sheffield.ac.uk
People and Planet Society,pandp@sheffield.ac.uk
Performing Arts Society,supas@sheffield.ac.uk
Persian Society,persian@sheffield.ac.uk
Pet Society,petsoc@sheffield.ac.uk
PGDE Society,pgde@sheffield.ac.uk
PH7 Society,pH7@sheffield.ac.uk
Philosophy Society,philsoc@sheffield.ac.uk
Photographic Society,photo-soc@sheffield.ac.uk
Physics Society,physoc@sheffield.ac.uk
Planning Society,planningsoc@sheffield.ac.uk
Platform Society,
Poetry Society,poetrysoc@sheffield.ac.uk
Pokemon Society,pokemon-soc@sheffield.ac.uk
Pole Fitness Society,pole.fitness@sheffield.ac.uk
Polish Society,polish.society@sheffield.ac.uk
Politics Society,politics.society@sheffield.ac.uk
Portuguese and Lusophone Society,lusosoc@sheffield.ac.uk
Postgraduate Students (ProgRess),pg-soc@sheffield.ac.uk
Psychiatry Society,psychiatrysoc@sheffield.ac.uk
Psychology Postgraduate Society,pgpsychology@sheffield.ac.uk
Psychology Society,psychos@sheffield.ac.uk
Public Health Society,publichealthsociety@sheffield.ac.uk
Qatar Society,Qatarsoc@sheffield.ac.uk
Quidditch Society,quidditchsociety@sheffield.ac.uk
Quiz Society,quizsoc@sheffield.ac.uk
Radical Youth Sheffield Campus Fellowship Society,radicalyouthsheffield@gmail.com
Radiology Society,medsocradiology@sheffield.ac.uk
Real Ale and Cider Society,realale@sheffield.ac.uk
Reggae Society,reggaesoc@sheffield.ac.uk
Roboteer's Society,roboteers@sheffield.ac.uk
Rock Society,rocksoc@sheffield.ac.uk
Romanian Society,rosoc@sheffield.ac.uk
Samba Society,samba@sheffield.ac.uk
Saudi Students Society,saudi@sheffield.ac.uk
Save Our Sandwiches,saveoursandwiches@sheffield.ac.uk
Science Brainwaves Society,sciencebrainwaves@sheffield.ac.uk
Scouts and Guides Society,stings@sheffield.ac.uk
Sexpression Society,sexpressioncoordinator@sheffield.ac.uk
Sheffield Malaysian Students' Association Society,smsa@sheffield.ac.uk
Sheffield Marrow,marrow@sheffield.ac.uk
Sheffield Methods Institute Society,methodsinstitute@sheffield.ac.uk
Sheffield Model United Nations Society,una@sheffield.ac.uk
Sheffield University Big Band Society,subb@sheffield.ac.uk
ShefWHO Society,SheffWHO@sheffield.ac.uk
Sign Language Society,sign.language@sheffield.ac.uk
Sikh Society,sikh@sheffield.ac.uk
Simurq Aeronautics Society,simurq.aeronautics@sheffield.ac.uk
Singapore Society,singaporesociety@sheffield.ac.uk
Singers' Society,singsoc@sheffield.ac.uk
Skateboarding Society,skatesoc@sheffield.ac.uk
Slavonic Languages Society,slavsoc@sheffield.ac.uk
Socialist Students Society,socialist-students@sheffield.ac.uk
Sociology Society,sociologysoc@sheffield.ac.uk
Somali Society,somalisociety@sheffield.ac.uk
Spikeball Society,shefspikeball@sheffield.ac.uk
Sports Medicine Society,sportsmedicinesoc@sheffield.ac.uk
Sri Lankan Society,srilankansoc@sheffield.ac.uk
Stationery Appreciation Society,stationerysoc@sheffield.ac.uk
Stitch Society,stitchsoc@sheffield.ac.uk
Stop the Traffik Society,stopthetraffik@sheffield.ac.uk
Student Action for our NHS Society,sanhs@sheffield.ac.uk
Student Action for Refugees Society,refugees@sheffield.ac.uk
Student Surgical Society,surgsoc@sheffield.ac.uk
Students for Global Health (Sheffield Branch),sheffield@studentsforglobalhealth.org
Sudanese Society,sudanesesoc@sheffield.ac.uk
Swing Dance Society,swing.soc@sheffield.ac.uk
Symphony Orchestra Society,suso@sheffield.ac.uk
Table Football Society,TBC
Taiwan Society,twsoc@sheffield.ac.uk
Tamil Society,tamilsociety@sheffield.ac.uk
Tea Society,teasoc@sheffield.ac.uk
Teddy Bear Hospital,teddybearhospital@sheffield.ac.uk
Thai Society,Thaisoc@sheffield.ac.uk
Turkish Society,turkish.society@sheffield.ac.uk
University of Sheffield Light Entertainment Societ,Usles@sheffield.ac.uk
UsART Society,TBA
Vegetarian and Vegan Society,veg.soc@sheffield.ac.uk
Vietnamese Society,vietsocsheffield.uk@gmail.com
Wargames Society,wargamessoc@shef.ac.uk
We are Donors Sheffield Society,wadsoc@sheffield.ac.uk
Wellbeing Cafe Society,wellbeingcafe@sheffield.ac.uk
Welsh Society,Welsh.Soc@sheffield.ac.uk
West Indian Society,westindiansoc@sheffield.ac.uk
Wilderness Medicine Society,swms@sheffield.ac.uk
Wind Orchestra Society,suwosoc@sheffield.ac.uk
Women in Business Society,womeninbusiness@sheffield.ac.uk
Women in Computer Science Society,womenincs@sheffield.ac.uk
Women in Engineering Society,info@womeninengineering.org.uk
Women in Law Society,womeninlawsociety@sheffield.ac.uk
Women's Equality Party Society,wepsoc@sheffield.ac.uk
Yoga and Pilates Society,yogaandpilates@sheffield.ac.uk
Young Greens Society,younggreens@sheffield.ac.uk
Youth Stop Aids Society,youthstopaids@sheffield.ac.uk
Zumba Society,zumba@sheffield.ac.uk
American Football,usfootball@sheffield.ac.uk
Archery,archery@sheffield.ac.uk
Athletics & Cross Country,athletics@sheffield.ac.uk
Badminton,badminton@sheffield.ac.uk
Baseball,baseball@sheffield.ac.uk
Boxing,boxing@sheffield.ac.uk
Canoe,canoe@sheffield.ac.uk
Caving,inclusions@shefcavers.org.uk
Cycling,cycling@sheffield.ac.uk
Dodgeball,dodgeball@sheffield.ac.uk
Equestrian,Shefequestrian@gmail.com
Fencing,Fencing@sheffield.ac.uk
Futsal,uosfutsalclub@gmail.com
Golf,golf@sheffield.ac.uk
Gymnastics,gymnastics@sheffield.ac.uk
Jiu Jitsu,jitsu.union@sheffield.ac.uk
Judo,judo@sheffield.ac.uk
Korfball,korfball@sheffield.ac.uk
Lacrosse,lacrosse@sheffield.ac.uk
Lifesaving,lifesaving@sheffield.ac.uk
Mens Basketball,basketball@sheffield.ac.uk
Mens Cricket,cricket.mens@sheffield.ac.uk
Mens Football,sheffieldmensfootball@gmail.com
Mens Hockey,suhc@sheffield.ac.uk
Mens Rugby Union,sheffieldurfc@gmail.com
Mountaineering,usmc@sheffield.ac.uk
Muay Thai,muay.thai@sheffield.ac.uk
Netball,sheffnetball@gmail.com
Orienteering & Fell Running,shuoc@sheffield.ac.uk
Parkour,parkour@sheffield.ac.uk
Pom Cheerleading,pomcheerleading@sheffield.ac.uk
Pool & Snooker,poolandsnooker@sheffield.ac.uk
Rowing,rowing@sheffield.ac.uk
Rugby League,rugby.league@sheffield.ac.uk
Sailing,sailing@sheffield.ac.uk
Sheffield Bears Ice Hockey,info@sheffieldbears.com
Ski,skiclub@sheffield.ac.uk
Snowboarding,snow.boarding@sheffield.ac.uk
Squash,squash@sheffield.ac.uk
Strength Sports,strengthsports@sheffield.ac.uk
Stunt Cheerleading,cheerleading@sheffield.ac.uk
Sub-Aqua,info@susac.com
Swimming & Waterpolo,suswpc@sheffield.ac.uk
Table Tennis,table.tennis@sheffield.ac.uk
Taekwondo,taekwondo@sheffield.ac.uk
Tennis,tennis@sheffield.ac.uk
Trampoline,trampolining@sheffield.ac.uk
Triathlon,triathlon@sheffield.ac.uk
Ultimate Frisbee,ultimate@sheffield.ac.uk
Volleyball,shefunivolleyball@gmail.com
Walking,suwc@sheffield.ac.uk
Windsurfing,windsurfing@sheffield.ac.uk
Womens Basketball,womens.basketball@sheffield.ac.uk
Womens Cricket,cricket.womens@sheffield.ac.uk
Womens Football,football.womens@sheffield.ac.uk
Womens Hockey,hockey.womens@sheffield.ac.uk
Womens Rugby Union,rugby.union.womens@sheffield.ac.uk
Black and Minority Ethnic Students' Committee,bmesc@sheffield.ac.uk
Disabled and Dyslexic Students' Committee,dsc@sheffield.ac.uk
International Students' Committee,isc@sheffield.ac.uk
LGBT Plus Committee,lgbt@sheffield.ac.uk
Mature Students' Committee,msc@sheffield.ac.uk
Postgraduate Committee,pgcommittee@sheffield.ac.uk
Women's Committee,womens.committee@sheffield.ac.uk
,
Conservation Volunteers Committee,conservation.volunteers@sheffield.ac.uk
Debating Committee,sheffielddebating@gmaill.com
Events Management Committee,enc@sheffield.ac.uk
Film Unit Committee,film.unit@sheffield.ac.uk
Forge Press Editorial Team Committee,editor@forgetoday.com
Forge Radio Committee,forgeradio@forgetoday.com
Forge TV Committee,forgetv@sheffield.ac.uk
Nightline Committee,sunl@sheffield.ac.uk
,
Societies Committee,societiescommittee@sheffield.ac.uk
Sports Committee,sports.committee@sheffield.ac.uk
Sustainability Committee,sustcom@sheffield.ac.uk
Technical Services Committee,tsc@sheffield.ac.uk
Theatre Company Committee,theatre.company@sheffield.ac.uk
Volunteering Committee,volunteeringcommittee@sheffield.ac.uk
Welfare Committee,welfare.committee@sheffield.ac.uk
